3.954335927452379829e-01,3.660185591080485166e-03
4.381474501414898970e-03,1.515233359028864135e-02
2.630249096259972344e-02,1.470267021889262206e-02
6.478738232124234275e-03,2.026651813385044881e-02
2.362692800917844810e-02,1.883286258368457519e-02
1.821904355678088255e-02,1.914212938145876813e-02
4.778437768877980343e-03,1.794305792071818062e-02
3.899648779897026407e-01,2.166496260240345639e-02
7.918383826668939441e-04,3.489528754649210297e-03
2.420231123457790794e-05,1.977082372867318763e-02
7.526037038194848070e-04,2.185142778793957088e-02
3.155570150003243209e-05,5.497606941479282923e-03
5.351284763644846999e-04,2.283229429131347979e-03
4.931563879886264421e-06,5.010917698365600090e-04
1.608760170060567827e-05,1.863907273857944719e-02
5.895607401893586310e-04,2.220505112008520215e-02
1.352913855925686089e-03,1.763515481638801286e-02
9.062857941708108407e-06,1.395476420240347563e-02
8.575755025951843982e-04,2.087701246990649601e-02
2.500864227497500393e-05,1.475100871837586175e-02
2.515122314620547774e-04,2.502672371786524713e-02
3.496016770309351554e-05,2.448332168289036812e-02
3.487743945349526596e-05,2.476413654089179572e-02
3.171428388950462503e-05,2.473599512170638476e-02
6.409039377579529750e-06,2.351084971557049208e-02
1.669281796540361988e-03,2.464128125608961925e-02
8.520313709442044181e-05,2.438330358539796822e-02
3.203338603387257549e-05,1.692892010759679960e-02
3.344359317775505490e-05,2.211130399860261261e-02
1.752144797634588595e-05,2.420383270398519804e-02
6.310878116195002422e-04,2.174422722089596263e-02
4.309889074870084595e-05,2.271258401962690868e-02
1.906166163354207824e-05,2.453003182998663573e-02
1.119513684836461255e-05,2.372776649906634117e-02
6.364190356081924401e-04,2.370565988419848225e-02
1.630959916261633807e-04,1.849116413020364044e-02
7.949253034775720345e-06,2.442731811783080062e-02
7.959889772921318468e-05,2.338045040417226564e-02
3.171428388950462503e-05,2.473599512170398043e-02
3.820605151668241283e-05,2.427358116138063002e-02
2.326295453484987334e-03,2.291844841547558201e-02
8.899382531756176262e-05,2.129792087506739845e-02
2.551484649674734496e-04,2.009907548639985539e-02
3.538524703270976750e-04,2.121270911061532219e-02
2.879931307430875316e-05,2.367949353493814524e-02
1.914438988314033120e-05,2.401823868765293191e-02
9.143237202117734247e-03,2.294909413952676489e-02
7.164964469443746095e-05,2.326430444998976374e-02
9.654923191168421955e-06,2.300780830800760318e-02
2.672612328539278049e-05,2.274858789902730813e-02
2.740679616579805322e-04,2.484880389400908815e-02
8.744178338253292041e-05,2.442731811783863463e-02
9.736849569678421518e-04,2.453590177896614738e-02
4.753127581004918658e-04,2.364879499882764982e-02
4.474584616713038856e-05,2.143036916217794935e-02
1.109916755766482237e-03,2.411568682333976171e-02
9.323511837879440835e-05,2.428209766220072729e-02
1.278227043617976254e-03,2.118324747771241010e-02
4.436690614546717521e-05,2.482448455936677595e-02
4.357910733911654210e-04,2.140689576760790649e-02
